record_type,adv_id,legal_adviser_name,business_name,crd_number,sec_number,firm_type,registration_status,registration_date,last_adv_filing_date,city,state,country,phone,reported_website,vc_signal_strength,vc_signal_reason,new_to_snapshot,feed_date,source_url,iapd_url,linkedin_company_search_url,linkedin_people_search_url,website_search_url,verification_status,freshness_bucket
adv_signal,adv-344213,VIVAL CAPITAL MANAGEMENT LP,VIVAL CAPITAL MANAGEMENT,344213,802-137440,ERA,ACTIVE,2026-09-03,2026-09-03,,,,4044458603,http://www.vivalcapital.com,explicit_venture_exemption,Form ADV Item 2.B.(1) says the adviser relies on the venture-capital-fund adviser exemption.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344213,https://www.linkedin.com/search/results/companies/?keywords=VIVAL+CAPITAL+MANAGEMENT,https://www.linkedin.com/search/results/people/?keywords=VIVAL+CAPITAL+MANAGEMENT+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=VIVAL+CAPITAL+MANAGEMENT+venture+capital,unresolved,recent_registration
adv_signal,adv-344390,THREEFOLD CAPITAL CORP,THREEFOLD CAPITAL CORP,344390,802-137442,ERA,ACTIVE,2026-09-03,2026-09-03,,,,603-801-8248,https://threefoldstrategies.com/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344390,https://www.linkedin.com/search/results/companies/?keywords=THREEFOLD+CAPITAL+CORP,https://www.linkedin.com/search/results/people/?keywords=THREEFOLD+CAPITAL+CORP+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=THREEFOLD+CAPITAL+CORP+venture+capital,unresolved,recent_registration
adv_signal,adv-344360,"NOVICA, LLC","NOVICA, LLC",344360,802-137434,ERA,ACTIVE,2026-09-03,2026-09-03,,,,518-331-0018,,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344360,https://www.linkedin.com/search/results/companies/?keywords=NOVICA%2C+LLC,https://www.linkedin.com/search/results/people/?keywords=NOVICA%2C+LLC+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=NOVICA%2C+LLC+venture+capital,unresolved,recent_registration
adv_signal,adv-341863,"FIRST IN VENTURES MANAGEMENT, INC.","FIRST IN VENTURES MANAGEMENT, INC.",341863,802-137437,ERA,ACTIVE,2026-09-03,2026-09-03,HOBE SOUND,FL,United States,917-797-3887,https://wearefirstin.com,possible_venture_manager,The adviser reports the private-fund exemption and its filed name contains an explicit venture/VC term.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/341863,https://www.linkedin.com/search/results/companies/?keywords=FIRST+IN+VENTURES+MANAGEMENT%2C+INC.,https://www.linkedin.com/search/results/people/?keywords=FIRST+IN+VENTURES+MANAGEMENT%2C+INC.+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=FIRST+IN+VENTURES+MANAGEMENT%2C+INC.+venture+capital,unresolved,recent_registration
adv_signal,adv-337301,VIRIDIAN PE MANAGEMENT LLC,VIRIDIAN CAPITAL,337301,802-137421,ERA,ACTIVE,2026-09-02,2026-09-02,PURCHASE,NY,United States,914-589-5969,,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/337301,https://www.linkedin.com/search/results/companies/?keywords=VIRIDIAN+CAPITAL,https://www.linkedin.com/search/results/people/?keywords=VIRIDIAN+CAPITAL+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=VIRIDIAN+CAPITAL+venture+capital,unresolved,recent_registration
adv_signal,adv-344290,"RAAS CAPITAL MANAGEMENT, LP","RAAS CAPITAL MANAGEMENT, LP",344290,802-137425,ERA,ACTIVE,2026-09-02,2026-09-02,BROOKLYN,NY,United States,1-415-910-3526,,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344290,https://www.linkedin.com/search/results/companies/?keywords=RAAS+CAPITAL+MANAGEMENT%2C+LP,https://www.linkedin.com/search/results/people/?keywords=RAAS+CAPITAL+MANAGEMENT%2C+LP+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=RAAS+CAPITAL+MANAGEMENT%2C+LP+venture+capital,unresolved,recent_registration
adv_signal,adv-343886,"MANA UP FUND MANAGEMENT, LLC","MANA UP FUND MANAGEMENT, LLC",343886,802-137431,ERA,ACTIVE,2026-09-02,2026-09-02,HONOLULU,HI,United States,(808) 938-0300,https://manauphawaii.com,explicit_venture_exemption,Form ADV Item 2.B.(1) says the adviser relies on the venture-capital-fund adviser exemption.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/343886,https://www.linkedin.com/search/results/companies/?keywords=MANA+UP+FUND+MANAGEMENT%2C+LLC,https://www.linkedin.com/search/results/people/?keywords=MANA+UP+FUND+MANAGEMENT%2C+LLC+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=MANA+UP+FUND+MANAGEMENT%2C+LLC+venture+capital,unresolved,recent_registration
adv_signal,adv-344236,DUENDE CAPITAL PARTNERS CORPORATION,DUENDE CAPITAL PARTNERS CORPORATION,344236,802-137427,ERA,ACTIVE,2026-09-02,2026-09-02,,,,801-898-1876,https://www.duendecapital.com/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344236,https://www.linkedin.com/search/results/companies/?keywords=DUENDE+CAPITAL+PARTNERS+CORPORATION,https://www.linkedin.com/search/results/people/?keywords=DUENDE+CAPITAL+PARTNERS+CORPORATION+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=DUENDE+CAPITAL+PARTNERS+CORPORATION+venture+capital,unresolved,recent_registration
adv_signal,adv-343620,VIGAMA CAPITAL SA,VIGAMA CAPITAL,343620,802-137424,ERA,ACTIVE,2026-09-02,2026-09-02,GENÈVE,,Switzerland,+41 22 593 97 02,https://vigama.capital/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/343620,https://www.linkedin.com/search/results/companies/?keywords=VIGAMA+CAPITAL,https://www.linkedin.com/search/results/people/?keywords=VIGAMA+CAPITAL+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=VIGAMA+CAPITAL+venture+capital,unresolved,recent_registration
adv_signal,adv-343753,"SSIAAT ASSET MANAGEMENT CO., LTD.","SSIAAT ASSET MANAGEMENT CO., LTD.",343753,802-137429,ERA,ACTIVE,2026-09-02,2026-09-02,"GANGNAM-GU, SEOUL",,"Korea, South",+82-566-2170,https://www.ssiaat.com/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/343753,https://www.linkedin.com/search/results/companies/?keywords=SSIAAT+ASSET+MANAGEMENT+CO.%2C+LTD.,https://www.linkedin.com/search/results/people/?keywords=SSIAAT+ASSET+MANAGEMENT+CO.%2C+LTD.+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=SSIAAT+ASSET+MANAGEMENT+CO.%2C+LTD.+venture+capital,unresolved,recent_registration
adv_signal,adv-343615,"R1 CAPITAL, INC.","R1 CAPITAL, INC.",343615,802-137411,ERA,ACTIVE,2026-09-01,2026-09-01,COLUMBUS,OH,United States,(614) 487-3635,https://7170angels.com,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/343615,https://www.linkedin.com/search/results/companies/?keywords=R1+CAPITAL%2C+INC.,https://www.linkedin.com/search/results/people/?keywords=R1+CAPITAL%2C+INC.+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=R1+CAPITAL%2C+INC.+venture+capital,unresolved,recent_registration
adv_signal,adv-344004,MAATRA VENTURES IFSC PRIVATE LIMITED,MAATRA VENTURES IFSC PRIVATE LIMITED,344004,802-137407,ERA,ACTIVE,2026-08-31,2026-08-31,"GANDHINAGAR, GUJARAT",,India,919840184415,https://www.linkedin.com/company/maatra-ventures/,possible_venture_manager,The adviser reports the private-fund exemption and its filed name contains an explicit venture/VC term.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344004,https://www.linkedin.com/search/results/companies/?keywords=MAATRA+VENTURES+IFSC+PRIVATE+LIMITED,https://www.linkedin.com/search/results/people/?keywords=MAATRA+VENTURES+IFSC+PRIVATE+LIMITED+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=MAATRA+VENTURES+IFSC+PRIVATE+LIMITED+venture+capital,unresolved,recent_registration
adv_signal,adv-339529,"MONTGOMERY CAPITAL ADVISERS, LLC",MONTGOMERY CAPITAL ADVISERS,339529,802-137410,ERA,ACTIVE,2026-08-31,2026-08-31,PLANO,TX,United States,214-509-5041,https://mca-texas.com/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/339529,https://www.linkedin.com/search/results/companies/?keywords=MONTGOMERY+CAPITAL+ADVISERS,https://www.linkedin.com/search/results/people/?keywords=MONTGOMERY+CAPITAL+ADVISERS+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=MONTGOMERY+CAPITAL+ADVISERS+venture+capital,unresolved,recent_registration
adv_signal,adv-344284,21BRIDGE CAPITAL PARTNERS LLC,21BRIDGE CAPITAL PARTNERS LLC,344284,802-137404,ERA,ACTIVE,2026-08-31,2026-08-31,NEW YORK,NY,United States,(646) 589-3114,https://www.linkedin.com/company/21bcp,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344284,https://www.linkedin.com/search/results/companies/?keywords=21BRIDGE+CAPITAL+PARTNERS+LLC,https://www.linkedin.com/search/results/people/?keywords=21BRIDGE+CAPITAL+PARTNERS+LLC+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=21BRIDGE+CAPITAL+PARTNERS+LLC+venture+capital,unresolved,recent_registration
adv_signal,adv-343730,COLLECTIVE CAPITAL MANAGEMENT LTD.,COLLECTIVE CAPITAL MANAGEMENT LTD.,343730,802-137402,ERA,ACTIVE,2026-08-28,2026-08-28,GEORGE TOWN,,Cayman Islands,1 345-848-9868,https://cocapitalmgmt.com/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/343730,https://www.linkedin.com/search/results/companies/?keywords=COLLECTIVE+CAPITAL+MANAGEMENT+LTD.,https://www.linkedin.com/search/results/people/?keywords=COLLECTIVE+CAPITAL+MANAGEMENT+LTD.+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=COLLECTIVE+CAPITAL+MANAGEMENT+LTD.+venture+capital,unresolved,recent_registration
adv_signal,adv-339534,"TORTUGA GROWTH PARTNERS, LP","TORTUGA GROWTH PARTNERS, LP",339534,802-137400,ERA,ACTIVE,2026-08-28,2026-08-28,NEW YORK,NY,United States,734-709-4774,https://www.tortugagrowthpartners.com/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/339534,https://www.linkedin.com/search/results/companies/?keywords=TORTUGA+GROWTH+PARTNERS%2C+LP,https://www.linkedin.com/search/results/people/?keywords=TORTUGA+GROWTH+PARTNERS%2C+LP+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=TORTUGA+GROWTH+PARTNERS%2C+LP+venture+capital,unresolved,recent_registration
adv_signal,adv-343345,"LAYER GLOBAL MANAGEMENT, L.P.","LAYER GLOBAL MANAGEMENT, L.P.",343345,802-137401,ERA,ACTIVE,2026-08-28,2026-08-28,NEW YORK,NY,United States,212-680-4901,http://www.layerglobal.com,explicit_venture_exemption,Form ADV Item 2.B.(1) says the adviser relies on the venture-capital-fund adviser exemption.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/343345,https://www.linkedin.com/search/results/companies/?keywords=LAYER+GLOBAL+MANAGEMENT%2C+L.P.,https://www.linkedin.com/search/results/people/?keywords=LAYER+GLOBAL+MANAGEMENT%2C+L.P.+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=LAYER+GLOBAL+MANAGEMENT%2C+L.P.+venture+capital,unresolved,recent_registration
adv_signal,adv-342941,"DA VINCI MANAGEMENT, LLC","DA VINCI MANAGEMENT, LLC",342941,802-137403,ERA,ACTIVE,2026-08-28,2026-08-28,PALO ALTO,CA,United States,6507436568,,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/342941,https://www.linkedin.com/search/results/companies/?keywords=DA+VINCI+MANAGEMENT%2C+LLC,https://www.linkedin.com/search/results/people/?keywords=DA+VINCI+MANAGEMENT%2C+LLC+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=DA+VINCI+MANAGEMENT%2C+LLC+venture+capital,unresolved,recent_registration
adv_signal,adv-343983,SKY9 CAPITAL FUND V GP LTD.,SKY9 CAPITAL FUND V GP LTD.,343983,802-137393,ERA,ACTIVE,2026-08-27,2026-08-27,"GEORGE TOWN, GRAND CAYMAN",,Cayman Islands,+1 345 814 7600,HTTP://WWW.SKY9CAPITAL.COM/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/343983,https://www.linkedin.com/search/results/companies/?keywords=SKY9+CAPITAL+FUND+V+GP+LTD.,https://www.linkedin.com/search/results/people/?keywords=SKY9+CAPITAL+FUND+V+GP+LTD.+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=SKY9+CAPITAL+FUND+V+GP+LTD.+venture+capital,unresolved,recent_registration
adv_signal,adv-339058,18 SALISBURY CAPITAL LIMITED,18 SALISBURY CAPITAL,339058,802-137389,ERA,ACTIVE,2026-08-27,2026-08-27,WANCHAI,,Hong Kong,852-2103-6549,https://www.18salisbury.com,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/339058,https://www.linkedin.com/search/results/companies/?keywords=18+SALISBURY+CAPITAL,https://www.linkedin.com/search/results/people/?keywords=18+SALISBURY+CAPITAL+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=18+SALISBURY+CAPITAL+venture+capital,unresolved,recent_registration
adv_signal,adv-344224,GB MEDIA MANAGEMENT LIMITED,GB MEDIA MANAGEMENT LIMITED,344224,802-137397,ERA,ACTIVE,2026-08-27,2026-08-27,ABU DHABI,,United Arab Emirates,+1 407 718 0906,https://guggenheimbrothersmedia.com,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344224,https://www.linkedin.com/search/results/companies/?keywords=GB+MEDIA+MANAGEMENT+LIMITED,https://www.linkedin.com/search/results/people/?keywords=GB+MEDIA+MANAGEMENT+LIMITED+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=GB+MEDIA+MANAGEMENT+LIMITED+venture+capital,unresolved,recent_registration
adv_signal,adv-343295,SYMMETRY INVESTMENTS (DIFC) LIMITED,SYMMETRY INVESTMENTS (DIFC) LIMITED,343295,802-137391,ERA,ACTIVE,2026-08-27,2026-08-27,"DUBAI INTERNATIONAL FINANCIAL CENTRE, DUBAI",,United Arab Emirates,+44 20 7072 3100,http://www.symmetryinvestments.com,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/343295,https://www.linkedin.com/search/results/companies/?keywords=SYMMETRY+INVESTMENTS+%28DIFC%29+LIMITED,https://www.linkedin.com/search/results/people/?keywords=SYMMETRY+INVESTMENTS+%28DIFC%29+LIMITED+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=SYMMETRY+INVESTMENTS+%28DIFC%29+LIMITED+venture+capital,unresolved,recent_registration
adv_signal,adv-343997,SOLENE CAPITAL MANAGEMENT LLC,SOLENE CAPITAL,343997,802-137385,ERA,ACTIVE,2026-08-26,2026-08-26,,,,423-303-9739,https://www.linkedin.com/company/sol%C3%A8ne-capital/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/343997,https://www.linkedin.com/search/results/companies/?keywords=SOLENE+CAPITAL,https://www.linkedin.com/search/results/people/?keywords=SOLENE+CAPITAL+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=SOLENE+CAPITAL+venture+capital,unresolved,recent_registration
